accountsservice 0.6.55-2
python-dbus 1.2.16-1
python-dbus-common 1.2.16-1
python-gobject 3.36.1-1
python-pam 1.8.4-4
python-pexpect 4.8.0-1
python-pillow 7.2.0-1
python-psutil 5.7.0-1
python-ptyprocess 0.6.0-4
python-pyinotify 0.9.6-7
python-pytz 2020.1-1
python-setproctitle 1.1.10-5
python-tinycss2 1.0.2-3
python-webencodings 0.5.1-4
python-xapp 2.0.0-1
qpdf 10.0.1-1
qrencode 4.0.2-2
qt5-base 5.15.0-4
qt5-declarative 5.15.0-1
qt5-svg 5.15.0-1
qt5-x11extras 5.15.0-1
quazip 0.9.1-1
raptor 2.0.15-13
rasqal 1:0.9.33-3
rav1e 0.3.3-1
rbenv 1.1.2-1
readline 8.0.004-1
redland 1:1.0.17-8
rest 0.8.1-3
rofi 1.5.4-2
rtkit 0.13-1
run-parts 4.8.6.1-2
rust-analyzer 20200504-1
rustup 1.22.1-1
sane 1.0.30-1
sddm 0.18.1-2
sdl2 2.0.12-2
sed 4.8-1
shadow 4.8.1-3
shared-mime-info 2.0+1+g6bf9e4f-2
simple-scan 3.36.4-1
slang 2.3.2-2
sound-theme-freedesktop 0.8-4
speex 1.2.0-3
speexdsp 1.2.0-2
sqlite 3.32.3-1
srt 1.4.1-2
startup-notification 0.12-7
stow 2.3.1-3
sudo 1.9.1-1
sysfsutils 2.1.0-11
systemd 245.6-8
systemd-libs 245.6-8
systemd-sysvcompat 245.6-8
tar 1.32-3
tdb 1.4.3-2
texinfo 6.7-3
thin-provisioning-tools 0.8.5-3
timezonemap 0.4.5.1-1
tslib 1.22-1
ttf-courier-prime 1.203-5
ttf-mononoki 1.2-2
tzdata 2020a-1
udisks2 2.9.0-1
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
util-linux 2.35.2-1
v4l-utils 1.20.0-1
vid.stab 1.1-3
vim 8.2.0814-3
vim-runtime 8.2.0814-3
vmaf 1.5.2-1
volume_key 0.3.12-3
vulkan-icd-loader 1.2.147-1
wayland 1.18.0-2
wayland-protocols 1.20-1
webkit2gtk 2.28.3-1
webrtc-audio-processing 0.3.1-2
which 2.21-5
woff2 1.0.2-3
wpa_supplicant 2:2.9-7
wpebackend-fdo 1.6.1-1
x264 3:0.159.r2999.296494a-1
x265 3.4-1
xapian-core 1:1.4.16-1
xapps 1.8.8-1
xcb-proto 1.14-1
xcb-util 0.4.0-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-dbus-proxy 0.1.2-2
xdg-utils 1.1.3+19+g9816ebb-1
xf86-input-libinput 0.30.0-1
xf86-video-intel 1:2.99.917+908+g7181c5a4-1
xf86-video-vesa 2.4.0-3
xfsprogs 5.6.0-2
xkeyboard-config 2.30-2
xmlsec 1.2.30-2
xmobar 0.35-2
xmonad 0.15-45
xmonad-contrib 0.16-25
xorg-bdftopcf 1.1-2
xorg-docs 1.7.1-3
xorg-font-util 1.3.2-2
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.3-5
xorg-fonts-alias-75dpi 1.0.3-5
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.8-2
xorg-luit 1.1.1-4
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-2
xorg-server-common 1.20.8-2
xorg-server-devel 1.20.8-2
xorg-server-xephyr 1.20.8-2
xorg-server-xnest 1.20.8-2
xorg-server-xvfb 1.20.8-2
xorg-server-xwayland 1.20.8-2
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.2-2
xorg-smproxy 1.0.6-3
xorg-util-macros 1.19.2-2
xorg-x11perf 1.6.1-2
xorg-xauth 1.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
